endereco;valor;area;quartos;vagas;banheiros;pagina
Estrada do Rio Grande - Taquara, Rio de Janeiro - RJ;1500.0;36;1;0;1;2
Rua Santiago, 161 - Penha, Rio de Janeiro - RJ;750.0;50;1;1;1;2
Rua Silva Castro - Copacabana, Rio de Janeiro - RJ;1600.0;39;1;0;1;2
Avenida Epitácio Pessoa - Lagoa, Rio de Janeiro - RJ;3100.0;60;1;1;2;2
Avenida Gilka Machado, 149 - Recreio Dos Bandeirantes, Rio de Janeiro - RJ;1100.0;40;1;0;1;2
Rua Voluntários da Pátria, 450 - Humaitá, Rio de Janeiro - RJ;1300.0;30;1;0;1;2
Rua Maici, 158 - Tauá, Rio de Janeiro - RJ;1400.0;45;1;0;1;2
Avenida Bartolomeu Mitre - Leblon, Rio de Janeiro - RJ;7500.0;114;1;1;2;2
Rua Marquês de Abrantes, 26 - Flamengo, Rio de Janeiro - RJ;2000.0;49;1;0;1;2
Catete, Rio de Janeiro - RJ;1800.0;38;1;0;1;3
Avenida Augusto Severo, 220 - Glória, Rio de Janeiro - RJ;600.0;23;1;0;1;3
Rua Pinheiro Machado, 22 - Laranjeiras, Rio de Janeiro - RJ;3500.0;95;1;1;2;3
Avenida Braz de Pina, 1221 - Vila da Penha, Rio de Janeiro - RJ;700.0;60;1;1;1;3
Rua Manuel de Freitas, 72 - Irajá, Rio de Janeiro - RJ;600.0;60;1;1;1;3
Rua das Laranjeiras, 371 - Laranjeiras, Rio de Janeiro - RJ;1800.0;50;1;0;2;3
Rua Francisco Sá, 42 - Copacabana, Rio de Janeiro - RJ;2100.0;54;1;0;1;3
Rua Francisco Otaviano, 155 - Ipanema, Rio de Janeiro - RJ;4200.0;43;1;1;1;3
Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ;3800.0;60;1;1;1;3
Rua Marquês de Olinda, 106 - Botafogo, Rio de Janeiro - RJ;1300.0;36;1;0;1;3
Tijuca, Rio de Janeiro - RJ;1200.0;45;1;0;1;3
Estrada da Boiuna - Taquara, Rio de Janeiro - RJ;750.0;10;1;0;1;3
Pechincha, Rio de Janeiro - RJ;800.0;42;1;1;1;3
Rua Barata Ribeiro, 153 - Copacabana, Rio de Janeiro - RJ;230.0;40;1;0;1;3
Rua Serafim Valandro, 6 - Botafogo, Rio de Janeiro - RJ;1200.0;25;1;0;1;3
Avenida Bartolomeu Mitre, 990 - Leblon, Rio de Janeiro - RJ;2300.0;50;1;0;1;3
Rua Ministro Viveiros de Castro - Copacabana, Rio de Janeiro - RJ;1400.0;40;1;0;1;3
Rua Sá Ferreira, 228 - Copacabana, Rio de Janeiro - RJ;1400.0;35;1;0;1;3
Praia Botafogo, 430 - Botafogo, Rio de Janeiro - RJ;2100.0;44;1;0;1;3
Praia Botafogo - Botafogo, Rio de Janeiro - RJ;1000.0;25;1;0;1;3
Rua Pedro Américo, 48 - Catete, Rio de Janeiro - RJ;750.0;27;1;0;1;3
Rua Daniel Carneiro - Engenho De Dentro, Rio de Janeiro - RJ;700.0;30;1;0;1;3
Rua Álvaro Alvim, 37 - Centro, Rio de Janeiro - RJ;600.0;36;1;0;1;3
Rua Marquês de Abrantes, 199 - Flamengo, Rio de Janeiro - RJ;2000.0;40;1;0;1;3
Rua Belfort Roxo, 58 - Copacabana, Rio de Janeiro - RJ;2000.0;46;1;0;1;3
Rua Aprazível, 28 - Santa Teresa, Rio de Janeiro - RJ;1900.0;18;1;0;1;3
Rua Senador Vergueiro, 98 - Flamengo, Rio de Janeiro - RJ;2200.0;60;1;0;2;3
Estrada Adhemar Bebiano, 4539 - Engenho Da Rainha, Rio de Janeiro - RJ;850.0;45;1;1;1;3
Avenida Prefeito Dulcídio Cardoso, 2800 - Barra da Tijuca, Rio de Janeiro - RJ;2400.0;64;1;1;1;3
Rua Barata Ribeiro - Copacabana, Rio de Janeiro - RJ;1900.0;44;1;0;2;3
Rua Maici, 158 - Tauá, Rio de Janeiro - RJ;1100.0;45;1;0;1;3
Rua Divino Salvador, 234 - Piedade, Rio de Janeiro - RJ;450.0;20;1;0;1;3
Rua Santa Clara, 308 - Copacabana, Rio de Janeiro - RJ;1900.0;38;1;0;1;3
Rua Figueiredo Magalhães - Copacabana, Rio de Janeiro - RJ;1700.0;53;1;1;1;3
Rua André Cavalcanti, 13 - Centro, Rio de Janeiro - RJ;2000.0;48;1;0;1;3
Tijuca, Rio de Janeiro - RJ;1400.0;51;1;0;1;3
Rua Figueiredo Magalhães - Copacabana, Rio de Janeiro - RJ;1700.0;53;1;1;1;4
Rua André Cavalcanti, 13 - Centro, Rio de Janeiro - RJ;2000.0;48;1;0;1;4
Tijuca, Rio de Janeiro - RJ;1400.0;51;1;0;1;4
Praia Botafogo - Botafogo, Rio de Janeiro - RJ;750.0;20;1;0;1;4
Ipanema, Rio de Janeiro - RJ;2400.0;75;1;0;2;4
Rua Riachuelo, 136 - Centro, Rio de Janeiro - RJ;800.0;20;1;0;1;4
Rua Clementina de Jesus - Recreio Dos Bandeirantes, Rio de Janeiro - RJ;1100.0;40;1;0;1;4
Avenida Oswaldo Cruz - Flamengo, Rio de Janeiro - RJ;1950.0;51;1;0;1;4
Rua Figueiredo Magalhães, 440 - Copacabana, Rio de Janeiro - RJ;1500.0;40;1;0;1;4
Copacabana, Rio de Janeiro - RJ;1350.0;40;1;0;1;4
Rua Filgueiras Lima, 71 - Riachuelo, Rio de Janeiro - RJ;780.0;34;1;1;1;4
Rua Silva Teles - Andaraí, Rio de Janeiro - RJ;1000.0;40;1;1;1;4
Rua Belfort Roxo, 406 - Copacabana, Rio de Janeiro - RJ;1700.0;52;1;0;1;4
Avenida Lúcio Costa - Barra da Tijuca, Rio de Janeiro - RJ;19000.0;130;1;2;2;4
Rua Curupaiti, 515 - Engenho De Dentro, Rio de Janeiro - RJ;650.0;40;1;0;1;4
Estrada dos Teixeiras, 80 - Taquara, Rio de Janeiro - RJ;850.0;45;1;1;1;4
Rua Ferreira Viana, 24 - Flamengo, Rio de Janeiro - RJ;1850.0;45;1;0;1;4
Flamengo, Rio de Janeiro - RJ;2300.0;60;1;1;2;4
Avenida General San Martin, 700 - Leblon, Rio de Janeiro - RJ;8000.0;44;1;1;2;4
Rua das Laranjeiras, 371 - Laranjeiras, Rio de Janeiro - RJ;1500.0;31;1;1;1;4
Avenida Ayrton Senna, 170 - Barra da Tijuca, Rio de Janeiro - RJ;4500.0;60;1;2;1;4
Rua Domingos Ferreira - Copacabana, Rio de Janeiro - RJ;1500.0;37;1;0;1;4
Boulevard Vinte e Oito de Setembro, 280 - Vila Isabel, Rio de Janeiro - RJ;600.0;26;1;0;1;4
Rua Barão de Sertorio, 67 - Rio Comprido, Rio de Janeiro - RJ;800.0;30;1;0;1;4
Rua Valparaíso - Tijuca, Rio de Janeiro - RJ;1450.0;47;1;0;2;4
Tijuca, Rio de Janeiro - RJ;1700.0;63;1;1;2;4
Tijuca, Rio de Janeiro - RJ;1300.0;40;1;0;1;4
Rua Silveira Martins, 147 - Flamengo, Rio de Janeiro - RJ;1800.0;35;1;0;1;4
Avenida Geremário Dantas - Pechincha, Rio de Janeiro - RJ;1000.0;60;1;1;1;4
